,x
597,Cycloramphus fuliginosus
598,Cycloramphus granulosus
599,Cycloramphus izecksohni
600,Cycloramphus juimirim
601,Cycloramphus lutzorum
602,Cycloramphus migueli
603,Cycloramphus mirandaribeiroi
604,Cycloramphus ohausi
605,Cycloramphus organensis
606,Cycloramphus rhyakonastes
607,Cycloramphus semipalmatus
608,Cycloramphus stejnegeri
609,Cycloramphus valae
610,Dasypops schirchi
611,Dendrobates auratus
612,Dendrobates leucomelas
613,Dendrobates nubeculosus
614,Dendrobates tinctorius
615,Dendrobates truncatus
616,Dendrophryniscus berthalutzae
617,Dendrophryniscus brevipollicatus
618,Dendrophryniscus carvalhoi
619,Dendrophryniscus krausae
620,Dendrophryniscus leucomystax
621,Dendrophryniscus proboscideus
622,Dendrophryniscus stawiarskyi
623,Dendropsophus acreanus
624,Dendropsophus allenorum
625,Dendropsophus amicorum
626,Dendropsophus anataliasiasi
627,Dendropsophus anceps
628,Dendropsophus aperomeus
629,Dendropsophus araguaya
630,Dendropsophus baileyi
631,Dendropsophus battersbyi
632,Dendropsophus berthalutzae
633,Dendropsophus bifurcus
634,Dendropsophus bipunctatus
635,Dendropsophus bogerti
636,Dendropsophus bokermanni
637,Dendropsophus branneri
638,Dendropsophus brevifrons
639,Dendropsophus cachimbo
640,Dendropsophus carnifex
641,Dendropsophus cerradensis
642,Dendropsophus coffea
643,Dendropsophus columbianus
644,Dendropsophus cruzi
645,Dendropsophus decipiens
646,Dendropsophus delarivai
647,Dendropsophus dutrai
648,Dendropsophus ebraccatus
649,Dendropsophus elegans
650,Dendropsophus elianeae
651,Dendropsophus frosti
652,Dendropsophus garagoensis
653,Dendropsophus gaucheri
654,Dendropsophus giesleri
655,Dendropsophus gryllatus
656,Dendropsophus haddadi
657,Dendropsophus haraldschultzi
658,Dendropsophus jimi
659,Dendropsophus joannae
660,Dendropsophus juliani
661,Dendropsophus koechlini
662,Dendropsophus leali
663,Dendropsophus leucophyllatus
664,Dendropsophus limai
665,Dendropsophus luddeckei
666,Dendropsophus luteoocellatus
667,Dendropsophus manonegra
668,Dendropsophus marmoratus
669,Dendropsophus mathiassoni
670,Dendropsophus melanargyreus
671,Dendropsophus meridensis
672,Dendropsophus meridianus
673,Dendropsophus microcephalus
674,Dendropsophus microps
675,Dendropsophus minimus
676,Dendropsophus minusculus
677,Dendropsophus minutus
678,Dendropsophus miyatai
679,Dendropsophus molitor
680,Dendropsophus nahdereri
681,Dendropsophus nanus
682,Dendropsophus norandinus
683,Dendropsophus novaisi
684,Dendropsophus oliveirai
685,Dendropsophus padreluna
686,Dendropsophus parviceps
687,Dendropsophus pauiniensis
688,Dendropsophus pelidna
689,Dendropsophus phlebodes
690,Dendropsophus praestans
691,Dendropsophus pseudomeridianus
692,Dendropsophus reichlei
693,Dendropsophus rhea
694,Dendropsophus rhodopeplus
695,Dendropsophus riveroi
696,Dendropsophus rossalleni
697,Dendropsophus rubicundulus
698,Dendropsophus ruschii
699,Dendropsophus sanborni
700,Dendropsophus sarayacuensis
701,Dendropsophus schubarti
702,Dendropsophus seniculus
703,Dendropsophus soaresi
704,Dendropsophus stingi
705,Dendropsophus studerae
706,Dendropsophus subocularis
707,Dendropsophus timbeba
708,Dendropsophus tintinnabulum
709,Dendropsophus triangulum
710,Dendropsophus tritaeniatus
711,Dendropsophus virolinensis
712,Dendropsophus vraemi
713,Dendropsophus walfordi
714,Dendropsophus werneri
715,Dendropsophus xapuriensis
716,Dendropsophus yaracuyanus
717,Dermatonotus muelleri
718,Diasporus anthrax
719,Diasporus gularis
720,Diasporus quidditus
721,Diasporus tinker
722,Dischidodactylus colonnelloi
723,Dischidodactylus duidensis
724,Dryaderces inframaculata
725,Dryaderces pearsoni
726,Ecnomiohyla bailarina
727,Ecnomiohyla miliaria
728,Ecnomiohyla phantasmagoria
729,Ecnomiohyla thysanota
730,Ectopoglossus absconditus
731,Ectopoglossus atopoglossus
732,Ectopoglossus confusus
733,Ectopoglossus lacrimosus
734,Ectopoglossus saxatilis
735,Edalorhina nasuta
736,Edalorhina perezi
737,Elachistocleis bicolor
738,Elachistocleis bumbameuboi
739,Elachistocleis carvalhoi
740,Elachistocleis erythrogaster
741,Elachistocleis helianneae
742,Elachistocleis matogrosso
743,Elachistocleis ovalis
744,Elachistocleis panamensis
745,Elachistocleis pearsei
746,Elachistocleis piauiensis
747,Elachistocleis skotogaster
748,Elachistocleis surinamensis
749,Elachistocleis surumu
750,Eleutherodactylus bilineatus
751,Eleutherodactylus johnstonei
752,Eleutherodactylus planirostris
753,Engystomops coloradorum
754,Engystomops freibergi
755,Engystomops guayaco
756,Engystomops montubio
757,Engystomops petersi
758,Engystomops pustulatus
759,Engystomops pustulosus
760,Engystomops puyango
761,Engystomops randi
762,Epipedobates anthonyi
763,Epipedobates boulengeri
764,Epipedobates espinosai
765,Epipedobates machalilla
766,Epipedobates narinensis
767,Epipedobates tricolor
768,Espadarana andina
769,Espadarana audax
770,Espadarana callistomma
771,Espadarana durrellorum
772,Espadarana prosoblepon
773,Euparkerella brasiliensis
774,Euparkerella cochranae
775,Euparkerella robusta
776,Euparkerella tridactyla
777,Eupsophus calcaratus
778,Eupsophus contulmoensis
779,Eupsophus emiliopugini
780,Eupsophus insularis
781,Eupsophus migueli
782,Eupsophus nahuelbutensis
783,Eupsophus queulensis
784,Eupsophus roseus
785,Eupsophus septentrionalis
786,Eupsophus vertebralis
787,Excidobates captivus
788,Excidobates condor
789,Excidobates mysteriosus
790,Flectonotus fitzgeraldi
791,Flectonotus pygmaeus
792,Fritziana fissilis
793,Fritziana goeldii
794,Fritziana ohausi
795,Frostius erythrophthalmus
796,Frostius pernambucensis
797,Gabohyla pauloalvini
798,Gastrotheca abdita
799,Gastrotheca aguaruna
800,Gastrotheca albolineata
801,Gastrotheca andaquiensis
802,Gastrotheca angustifrons
803,Gastrotheca antomia
804,Gastrotheca antoniiochoai
805,Gastrotheca aratia
806,Gastrotheca argenteovirens
807,Gastrotheca atympana
808,Gastrotheca aureomaculata
809,Gastrotheca bufona
810,Gastrotheca carinaceps
811,Gastrotheca christiani
812,Gastrotheca chrysosticta
813,Gastrotheca cornuta
814,Gastrotheca dendronastes
815,Gastrotheca dunni
816,Gastrotheca dysprosita
817,Gastrotheca ernestoi
818,Gastrotheca espeletia
819,Gastrotheca excubitor
820,Gastrotheca fissipes
821,Gastrotheca flamma
822,Gastrotheca fulvorufa
823,Gastrotheca galeata
824,Gastrotheca gracilis
825,Gastrotheca griswoldi
826,Gastrotheca guentheri
827,Gastrotheca helenae
828,Gastrotheca lateonota
829,Gastrotheca lauzuricae
830,Gastrotheca litonedis
831,Gastrotheca lojana
832,Gastrotheca longipes
833,Gastrotheca marsupiata
834,Gastrotheca microdiscus
835,Gastrotheca monticola
836,Gastrotheca nebulanastes
837,Gastrotheca nicefori
838,Gastrotheca ochoai
839,Gastrotheca oresbios
840,Gastrotheca orophylax
841,Gastrotheca ossilaginis
842,Gastrotheca ovifera
843,Gastrotheca pacchamama
844,Gastrotheca pachachacae
845,Gastrotheca peruana
846,Gastrotheca phalarosa
847,Gastrotheca phelloderma
848,Gastrotheca piperata
849,Gastrotheca plumbea
850,Gastrotheca pseustes
851,Gastrotheca psychrophila
852,Gastrotheca rebeccae
853,Gastrotheca riobambae
854,Gastrotheca ruizi
855,Gastrotheca spectabilis
856,Gastrotheca splendens
857,Gastrotheca stictopleura
858,Gastrotheca testudinea
859,Gastrotheca trachyceps
860,Gastrotheca walkeri
861,Gastrotheca weinlandii
862,Gastrotheca williamsoni
863,Gastrotheca zeugocystis
864,Geobatrachus walkeri
865,Haddadus aramunha
866,Haddadus binotatus
867,Haddadus plicifer
868,Hamptophryne alios
869,Hamptophryne boliviana
870,Hemiphractus bubalus
871,Hemiphractus fasciatus
872,Hemiphractus helioi
873,Hemiphractus johnsoni
874,Hemiphractus proboscideus
875,Hemiphractus scutatus
876,Holoaden bradei
877,Holoaden luederwaldti
878,Holoaden pholeter
879,Hyalinobatrachium anachoretus
880,Hyalinobatrachium aureoguttatum
881,Hyalinobatrachium bergeri
882,Hyalinobatrachium chirripoi
883,Hyalinobatrachium colymbiphyllum
884,Hyalinobatrachium crurifasciatum
885,Hyalinobatrachium duranti
886,Hyalinobatrachium eccentricum
887,Hyalinobatrachium esmeralda
888,Hyalinobatrachium fleischmanni
889,Hyalinobatrachium fragile
890,Hyalinobatrachium guairarepanense
891,Hyalinobatrachium iaspidiense
892,Hyalinobatrachium ibama
893,Hyalinobatrachium ignioculus
894,Hyalinobatrachium kawense
895,Hyalinobatrachium mesai
896,Hyalinobatrachium mondolfii
897,Hyalinobatrachium munozorum
898,Hyalinobatrachium nouraguense
899,Hyalinobatrachium orientale
900,Hyalinobatrachium orocostale
901,Hyalinobatrachium pallidum
902,Hyalinobatrachium pellucidum
903,Hyalinobatrachium ruedai
904,Hyalinobatrachium tatayoi
905,Hyalinobatrachium taylori
906,Hyalinobatrachium tricolor
907,Hyalinobatrachium valerioi
908,Hydrolaetare caparu
909,Hydrolaetare dantasi
